Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    Less Than One Year ,"4,900","4,540","9,440","5,070","4,860","9,930","5,040","4,850","9,890","5,000","4,930","9,930","4,960","4,910","9,870","5,010","4,860","9,870"
1,"5,080","4,510","9,590","4,990","4,440","9,430","5,150","4,880","10,030","5,120","4,880","10,000","5,090","4,860","9,950","5,060","4,930","9,990"
2,"4,700","4,150","8,850","4,620","4,070","8,690","4,550","4,100","8,650","4,610","4,430","9,040","4,660","4,420","9,080","4,650","4,490","9,140"
3,"4,160","3,760","7,920","4,140","3,760","7,900","4,080","3,690","7,770","4,020","3,650","7,670","4,060","3,930","7,990","4,140","4,000","8,140"
4,"4,350","3,860","8,210","4,240","3,860","8,100","4,140","3,760","7,900","4,080","3,710","7,790","4,100","3,750","7,850","4,160","4,030","8,190"
5,"4,400","4,200","8,600","4,360","4,100","8,460","4,260","3,980","8,240","4,160","4,000","8,160","4,100","3,930","8,030","4,130","3,870","8,000"
6,"3,930","3,650","7,580","3,900","3,600","7,500","3,870","3,590","7,460","3,850","3,510","7,360","3,770","3,430","7,200","3,720","3,450","7,170"
7,"3,960","3,830","7,790","3,940","3,790","7,730","3,900","3,730","7,630","3,870","3,740","7,610","3,860","3,650","7,510","3,780","3,560","7,340"
8,"3,770","3,440","7,210","3,740","3,400","7,140","3,720","3,440","7,160","3,690","3,400","7,090","3,750","3,320","7,070","3,660","3,320","6,980"
9,"3,820","3,680","7,500","3,800","3,640","7,440","3,790","3,700","7,490","3,760","3,660","7,420","3,720","3,610","7,330","3,790","3,610","7,400"
10,"3,360","3,380","6,740","3,450","3,350","6,800","3,430","3,400","6,830","3,410","3,370","6,780","3,390","3,330","6,720","3,360","3,360","6,720"
11,"3,530","3,460","6,990","3,530","3,430","6,960","3,520","3,390","6,910","3,510","3,370","6,880","3,490","3,440","6,930","3,580","3,390","6,970"
12,"3,240","3,120","6,360","3,240","3,190","6,430","3,330","3,150","6,480","3,320","3,140","6,460","3,310","3,100","6,410","3,290","3,150","6,440"
13,"3,450","3,360","6,810","3,470","3,350","6,820","3,460","3,320","6,780","3,460","3,410","6,870","3,450","3,370","6,820","3,440","3,330","6,770"
14,"3,220","3,180","6,400","3,230","3,170","6,400","3,230","3,140","6,370","3,320","3,220","6,540","3,320","3,200","6,520","3,310","3,150","6,460"
15,"3,230","3,140","6,370","3,240","3,240","6,480","3,250","3,220","6,470","3,260","3,210","6,470","3,370","3,200","6,570","3,370","3,260","6,630"
16,"2,970","2,840","5,810","2,990","2,850","5,840","3,000","2,830","5,830","3,100","2,930","6,030","3,110","2,920","6,030","3,110","2,890","6,000"
17,"2,760","2,520","5,280","2,800","2,520","5,320","2,820","2,620","5,440","2,830","2,620","5,450","2,940","2,610","5,550","2,950","2,590","5,540"
18,"2,400","2,330","4,730","2,540","2,340","4,880","2,570","2,420","4,990","2,590","2,430","5,020","2,590","2,420","5,010","2,610","2,410","5,020"
19,"2,180","2,230","4,410","2,240","2,240","4,480","2,290","2,350","4,640","2,320","2,360","4,680","2,330","2,350","4,680","2,340","2,340","4,680"
20,"1,840","2,090","3,930","1,900","2,190","4,090","1,960","2,190","4,150","2,000","2,210","4,210","2,020","2,210","4,230","2,040","2,200","4,240"
21,"1,800","2,060","3,860","1,860","2,080","3,940","1,930","2,100","4,030","1,990","2,120","4,110","2,030","2,120","4,150","2,050","2,120","4,170"
22,"1,550","1,990","3,540","1,680","2,000","3,680","1,750","2,010","3,760","1,810","2,040","3,850","1,860","2,150","4,010","1,900","2,140","4,040"
23,"1,540","1,890","3,430","1,560","1,890","3,450","1,610","1,900","3,510","1,670","1,930","3,600","1,720","1,950","3,670","1,770","2,060","3,830"
24,"1,350","1,710","3,060","1,360","1,720","3,080","1,480","1,720","3,200","1,520","1,740","3,260","1,580","1,860","3,440","1,630","1,870","3,500"
25,"1,330","1,950","3,280","1,330","1,950","3,280","1,430","1,950","3,380","1,460","1,970","3,430","1,500","1,980","3,480","1,550","1,990","3,540"
26,"1,330","1,810","3,140","1,340","1,820","3,160","1,340","1,920","3,260","1,350","1,940","3,290","1,490","1,960","3,450","1,530","1,950","3,480"
27,"1,250","1,870","3,120","1,260","1,880","3,140","1,360","1,880","3,240","1,360","1,890","3,250","1,370","1,900","3,270","1,400","1,900","3,300"
28,"1,170","1,800","2,970","1,180","1,830","3,010","1,190","1,840","3,030","1,190","1,940","3,130","1,200","1,940","3,140","1,210","1,950","3,160"
29,"1,200","1,920","3,120","1,210","1,960","3,170","1,230","1,980","3,210","1,230","2,010","3,240","1,240","2,020","3,260","1,240","2,020","3,260"
30,960,"1,690","2,650",970,"1,810","2,780",980,"1,840","2,820",990,"1,870","2,860",990,"1,890","2,880","1,000","1,900","2,900"
31,"1,210","1,500","2,710","1,220","1,670","2,890","1,230","1,710","2,940","1,240","1,760","3,000","1,250","1,790","3,040","1,260","1,800","3,060"
32,980,"1,230","2,210",980,"1,340","2,320",990,"1,370","2,360","1,000","1,420","2,420","1,010","1,450","2,460","1,020","1,460","2,480"
33,920,"1,330","2,250",920,"1,350","2,270",930,"1,370","2,300","1,080","1,420","2,500","1,100","1,460","2,560","1,100","1,480","2,580"
34,910,"1,310","2,220",910,"1,320","2,230",920,"1,330","2,250",920,"1,370","2,290","1,020","1,410","2,430","1,030","1,440","2,470"
35,850,"1,300","2,150",850,"1,310","2,160",860,"1,310","2,170",860,"1,420","2,280",870,"1,450","2,320",950,"1,490","2,440"
36,840,"1,180","2,020",840,"1,180","2,020",840,"1,190","2,030",850,"1,200","2,050",850,"1,220","2,070",860,"1,360","2,220"
37,740,"1,250","1,990",750,"1,250","2,000",740,"1,260","2,000",740,"1,270","2,010",750,"1,280","2,030",750,"1,290","2,040"
38,800,"1,130","1,930",790,"1,140","1,930",790,"1,140","1,930",800,"1,160","1,960",800,"1,170","1,970",800,"1,170","1,970"
39,850,"1,140","1,990",840,"1,160","2,000",840,"1,160","2,000",840,"1,180","2,020",840,"1,190","2,030",840,"1,190","2,030"
40,630,"1,040","1,670",630,"1,060","1,690",630,"1,060","1,690",690,"1,080","1,770",690,"1,100","1,790",690,"1,100","1,790"
41,690,950,"1,640",690,970,"1,660",690,970,"1,660",690,"1,000","1,690",690,"1,010","1,700",690,"1,010","1,700"
42,660,880,"1,540",660,890,"1,550",660,890,"1,550",650,920,"1,570",650,930,"1,580",650,930,"1,580"
43,650,680,"1,330",650,690,"1,340",650,680,"1,330",640,710,"1,350",640,720,"1,360",640,720,"1,360"
44,580,710,"1,290",580,710,"1,290",590,710,"1,300",580,730,"1,310",580,850,"1,430",580,860,"1,440"
45,580,760,"1,340",580,760,"1,340",580,760,"1,340",580,770,"1,350",650,780,"1,430",650,790,"1,440"
46,500,670,"1,170",500,670,"1,170",500,670,"1,170",510,680,"1,190",510,680,"1,190",510,690,"1,200"
47,560,720,"1,280",560,730,"1,290",560,720,"1,280",560,730,"1,290",560,740,"1,300",560,740,"1,300"
48,510,690,"1,200",520,690,"1,210",520,690,"1,210",520,700,"1,220",520,700,"1,220",520,700,"1,220"
49,570,680,"1,250",580,690,"1,270",590,690,"1,280",590,700,"1,290",590,710,"1,300",590,700,"1,290"
50,450,620,"1,070",460,630,"1,090",470,620,"1,090",470,640,"1,110",480,640,"1,120",480,640,"1,120"
51,540,560,"1,100",550,690,"1,240",560,680,"1,240",570,700,"1,270",580,710,"1,290",580,700,"1,280"
52,420,480,900,430,480,910,440,470,910,450,490,940,460,490,950,460,490,950
53,320,460,780,320,460,780,330,450,780,330,460,790,340,470,810,340,460,800
54,320,410,730,320,420,740,320,410,730,330,420,750,340,430,770,350,420,770
55,360,440,800,360,440,800,360,430,790,360,440,800,370,450,820,370,530,900
56,350,490,840,350,490,840,350,470,820,350,480,830,350,480,830,350,480,830
57,310,500,810,310,510,820,300,500,800,300,510,810,310,510,820,310,510,820
58,270,400,670,270,410,680,270,400,670,270,410,680,270,520,790,270,520,790
59,320,500,820,320,500,820,320,490,810,320,500,820,320,500,820,320,490,810
60,240,410,650,240,410,650,240,450,690,240,470,710,240,470,710,240,460,700
61,330,380,710,330,380,710,330,370,700,330,390,720,330,390,720,340,380,720
62,320,380,700,320,380,700,320,370,690,320,380,700,320,390,710,320,380,700
63,190,350,540,190,350,540,190,340,530,190,350,540,190,350,540,200,350,550
64,150,360,510,150,350,500,150,340,490,150,350,500,150,360,510,150,350,500
65,210,270,480,200,270,470,200,250,450,200,260,460,200,260,460,200,250,450
66,160,190,350,160,310,470,160,300,460,160,310,470,150,310,460,150,300,450
67,160,320,480,160,310,470,160,300,460,160,300,460,150,300,450,150,290,440
68,160,290,450,160,280,440,160,270,430,160,270,430,150,270,420,150,260,410
69,170,310,480,170,300,470,160,290,450,160,300,460,160,290,450,160,280,440
    70+ ,290,370,660,300,320,620,440,730,"1,170",590,120,710,300,340,640,340,650,990
,"108,800","117,600","226,400","109,300","118,600","227,900","110,000","119,500","229,500","110,600","120,400","231,000","111,100","121,300","232,400","111,700","122,200","233,900"
